1	780	690	50	80
A	495	228	50	80
2	955	560	50	80
B	930	185	50	80
3	130	550	50	80
C	320	80	50	80
4	515	570	50	80
D	105	165	50	80
5	320	670	50	80
E	710	100	50	80
